Source,Target,Type,Id,Label,Weight,Color
주말,축제,Undirected,410,,25,"#ca0322"
주말,행복하다,Undirected,411,,29,"#cb0524"
주민,지역,Undirected,412,,33,"#cb0827"
준비,축제,Undirected,413,,23,"#ca0121"
지역,축제,Undirected,414,,338,"#f3c6cd"
지역,활성화,Undirected,415,,30,"#cb0625"
직원,행복하다,Undirected,416,,22,"#ca0121"
진짜,축제,Undirected,417,,24,"#ca0222"
최고,축제,Undirected,418,,27,"#ca0423"
축제,한국,Undirected,419,,29,"#cb0524"
축제,한번,Undirected,420,,20,"#ca0020"
항상,행복하다,Undirected,421,,21,"#ca0020"
