Video_ID,Video_Title,Channel_Title,author,comment,published_at,published_at_timestamp,votes,replies,heart,reply,published_at_datetime,published_at_korean
cnniBxGOVoA,비 맞으며 치맥 먹다 다리 다치고 눈물 젖은 김치찌개에 소주 마시는 46세 술또(라이) 일상(ft.치맥 페스티벌) #유튜브라이브,김말레,@금란화-q6p,"이날은 악재가 겹치는 날이군요 비 쫄딱맞고 그냥 집에 들어가시지 
뱀띠들은 비오는날 
조심해야 합니다",9개월 전,1704712873.553219,0,,True,False,2024-01-08 11:21:13.553219080,2024-01-08 11:21:13
cnniBxGOVoA,비 맞으며 치맥 먹다 다리 다치고 눈물 젖은 김치찌개에 소주 마시는 46세 술또(라이) 일상(ft.치맥 페스티벌) #유튜브라이브,김말레,@재식-g6z,팬미팅 안하나요?,10개월 전(수정됨),1702034473.558815,0,1,True,False,2023-12-08 11:21:13.558815002,2023-12-08 11:21:13
cnniBxGOVoA,비 맞으며 치맥 먹다 다리 다치고 눈물 젖은 김치찌개에 소주 마시는 46세 술또(라이) 일상(ft.치맥 페스티벌) #유튜브라이브,김말레,@marlre,응원 감사합니다😊,6개월 전,1712575273.751873,0,,False,True,2024-04-08 11:21:13.751873016,2024-04-08 11:21:13
cnniBxGOVoA,비 맞으며 치맥 먹다 다리 다치고 눈물 젖은 김치찌개에 소주 마시는 46세 술또(라이) 일상(ft.치맥 페스티벌) #유튜브라이브,김말레,@행복한_하루,너무 너무 잘 보았어요. ^^ 오늘은 새벽에 일어나셨나봐요 ^^,6개월 전,1712575273.943018,0,,False,True,2024-04-08 11:21:13.943017960,2024-04-08 11:21:13
cnniBxGOVoA,비 맞으며 치맥 먹다 다리 다치고 눈물 젖은 김치찌개에 소주 마시는 46세 술또(라이) 일상(ft.치맥 페스티벌) #유튜브라이브,김말레,@marlre,어우 별거 아닌 줄 알았는데 저 날 다친 발목이 두달을 가더라고요. 이제와 얘기지만 병원 다니고 발목 재활 훈련 하느라 혼났어요ㅋㅋ,8개월 전(수정됨),1707391274.122745,0,,False,True,2024-02-08 11:21:14.122745037,2024-02-08 11:21:14
cnniBxGOVoA,비 맞으며 치맥 먹다 다리 다치고 눈물 젖은 김치찌개에 소주 마시는 46세 술또(라이) 일상(ft.치맥 페스티벌) #유튜브라이브,김말레,@marlre,기회가 된다면!! 내년쯤이요? 😂,10개월 전,1702034474.307648,0,,False,True,2023-12-08 11:21:14.307647943,2023-12-08 11:21:14
cnniBxGOVoA,비 맞으며 치맥 먹다 다리 다치고 눈물 젖은 김치찌개에 소주 마시는 46세 술또(라이) 일상(ft.치맥 페스티벌) #유튜브라이브,김말레,@ho-ppang-i-TV,한의원 다니세요 꼭😊,10개월 전,1702034474.576946,1,,True,False,2023-12-08 11:21:14.576946020,2023-12-08 11:21:14
cnniBxGOVoA,비 맞으며 치맥 먹다 다리 다치고 눈물 젖은 김치찌개에 소주 마시는 46세 술또(라이) 일상(ft.치맥 페스티벌) #유튜브라이브,김말레,@ho-ppang-i-TV,"고생했어요 
응원합니다 👍 😊",10개월 전,1702034474.581005,2,,True,False,2023-12-08 11:21:14.581005096,2023-12-08 11:21:14
cnniBxGOVoA,비 맞으며 치맥 먹다 다리 다치고 눈물 젖은 김치찌개에 소주 마시는 46세 술또(라이) 일상(ft.치맥 페스티벌) #유튜브라이브,김말레,@smsc-n3t,"ㅎㅎ 말레님 다치신건 정말 유감이지만 행동은 많이 어리고 순수시네요! 앞으로
조심히 차분히 다니셔요!^^;",10개월 전,1702034474.584795,0,1,True,False,2023-12-08 11:21:14.584794998,2023-12-08 11:21:14
cnniBxGOVoA,비 맞으며 치맥 먹다 다리 다치고 눈물 젖은 김치찌개에 소주 마시는 46세 술또(라이) 일상(ft.치맥 페스티벌) #유튜브라이브,김말레,@토끼패는당근-g7r,괞아요...다. 젖어서..또..술..집에가서 옷부터.......,10개월 전,1702034474.590791,0,,True,False,2023-12-08 11:21:14.590790987,2023-12-08 11:21:14
cnniBxGOVoA,비 맞으며 치맥 먹다 다리 다치고 눈물 젖은 김치찌개에 소주 마시는 46세 술또(라이) 일상(ft.치맥 페스티벌) #유튜브라이브,김말레,@토끼패는당근-g7r,아..우산주고. 싶다...ㅜ ㅜ,10개월 전,1702034474.594559,0,,True,False,2023-12-08 11:21:14.594558954,2023-12-08 11:21:14
cnniBxGOVoA,비 맞으며 치맥 먹다 다리 다치고 눈물 젖은 김치찌개에 소주 마시는 46세 술또(라이) 일상(ft.치맥 페스티벌) #유튜브라이브,김말레,@토끼패는당근-g7r,식사를. 하는거에요..술먹을라고. 오신거에요. ㅎㅎ❤,10개월 전,1702034474.598027,0,,True,False,2023-12-08 11:21:14.598026991,2023-12-08 11:21:14
cnniBxGOVoA,비 맞으며 치맥 먹다 다리 다치고 눈물 젖은 김치찌개에 소주 마시는 46세 술또(라이) 일상(ft.치맥 페스티벌) #유튜브라이브,김말레,@대빵투게더,울 할머님 이름이 같습니다ㅡㅡㅋ😊,11개월 전,1699442474.601259,0,,True,False,2023-11-08 11:21:14.601258993,2023-11-08 11:21:14
cnniBxGOVoA,비 맞으며 치맥 먹다 다리 다치고 눈물 젖은 김치찌개에 소주 마시는 46세 술또(라이) 일상(ft.치맥 페스티벌) #유튜브라이브,김말레,@김세진-g6r,❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤😊😊😊😊😊😊😊😊😊😊,11개월 전,1699442474.604491,0,,True,False,2023-11-08 11:21:14.604490995,2023-11-08 11:21:14
cnniBxGOVoA,비 맞으며 치맥 먹다 다리 다치고 눈물 젖은 김치찌개에 소주 마시는 46세 술또(라이) 일상(ft.치맥 페스티벌) #유튜브라이브,김말레,@강재운-o7h,말레씨 아야했네. ㅜㅜ,1년 전,1696764074.606885,0,,True,False,2023-10-08 11:21:14.606884956,2023-10-08 11:21:14
cnniBxGOVoA,비 맞으며 치맥 먹다 다리 다치고 눈물 젖은 김치찌개에 소주 마시는 46세 술또(라이) 일상(ft.치맥 페스티벌) #유튜브라이브,김말레,@강재운-o7h,말레씨다❤❤❤😂😂,1년 전,1696764074.609084,0,,True,False,2023-10-08 11:21:14.609083891,2023-10-08 11:21:14
